age,balance,campaign,pdays,last_contact,poutcome_success
58,2143,1,-1,197,0
33,2,1,-1,197,0
29,390,1,-1,197,0
53,6,1,-1,197,0
57,52,1,-1,197,0
60,60,1,-1,197,0
40,0,1,-1,197,0
36,506,1,-1,197,0
44,2586,1,-1,197,0
54,1291,1,-1,197,0
40,24,1,-1,197,0
46,179,1,-1,197,0
59,59,1,-1,197,0
55,23,1,-1,197,0
43,1937,1,-1,197,0
49,0,1,-1,197,0
42,690,1,-1,197,0
56,45,1,-1,197,0
42,50,1,-1,197,0
30,152,2,-1,197,0
60,290,1,-1,197,0
60,54,1,-1,197,0
57,-37,1,-1,197,0
44,-674,1,-1,197,0
44,54,1,-1,197,0
34,61,1,-1,197,0
45,523,2,-1,197,0
56,-34,2,-1,197,0
56,56,1,-1,197,0
33,105,2,-1,197,0
43,0,1,-1,197,0
32,517,1,-1,197,0
53,947,1,-1,197,0
59,57,1,-1,197,0
54,348,2,-1,197,0
47,176,2,-1,197,0
45,86,1,-1,197,0
54,184,2,-1,197,0
50,0,3,-1,197,0
54,4080,1,-1,197,0
55,73,2,-1,197,0
33,307,2,-1,197,0
61,1428,2,-1,197,0
35,0,1,-1,197,0
41,517,1,-1,197,0
39,257,1,-1,197,0
53,330,2,-1,197,0
55,0,1,-1,197,0
36,1033,2,-1,197,0
47,-12,1,-1,197,0
44,66,1,-1,197,0
49,3237,3,-1,197,0
51,2248,2,-1,197,0
49,428,1,-1,197,0
33,140,1,-1,197,0
40,475,2,-1,197,0
53,70,2,-1,197,0
41,236,1,-1,197,0
37,600,1,-1,197,0
56,155,3,-1,197,0
59,319,3,-1,197,0
30,0,2,-1,197,0
47,368,2,-1,197,0
40,672,2,-1,197,0
56,13,2,-1,197,0
57,211,2,-1,197,0
36,62,2,-1,197,0
53,257,2,-1,197,0
55,89,3,-1,197,0
42,490,2,-1,197,0
51,0,2,-1,197,0
49,403,2,-1,197,0
48,161,3,-1,197,0
32,2558,2,-1,197,0
42,57,2,-1,197,0
30,-457,2,-1,197,0
42,1022,2,-1,197,0
59,27,3,-1,197,0
31,12,2,-1,197,0
44,34,4,-1,197,0
43,1,1,-1,196,0
38,20,1,-1,196,0
58,1667,1,-1,196,0
27,4,1,-1,196,0
32,0,3,-1,196,0
29,16,1,-1,196,0
52,7,2,-1,196,0
32,406,1,-1,196,0
34,242,1,-1,196,0
42,132,1,-1,196,0
37,1,1,-1,196,0
39,408,1,-1,196,0
36,20,1,-1,196,0
55,52,1,-1,196,0
41,871,1,-1,196,0
41,767,1,-1,196,0
43,0,1,-1,196,0
37,17,1,-1,196,0
32,-170,1,-1,196,0
41,0,1,-1,196,0
31,17,1,-1,196,0
46,1527,1,-1,196,0
29,0,1,-1,196,0
44,213,1,-1,196,0
31,203,3,-1,196,0
45,-66,2,-1,196,0
49,505,1,-1,196,0
36,639,1,-1,196,0
30,34,1,-1,196,0
33,-10,1,-1,196,0
36,-106,2,-1,196,0
39,471,2,-1,196,0
56,778,2,-1,196,0
42,315,2,-1,196,0
36,131,1,-1,196,0
35,204,2,-1,196,0
38,1759,1,-1,196,0
56,1602,1,-1,196,0
54,193,1,-1,196,0
61,195,1,-1,196,0
53,25,3,-1,196,0
55,840,2,-1,196,0
37,358,3,-1,196,0
38,384,3,-1,196,0
37,-118,2,-1,196,0
51,50,1,-1,196,0
31,60,1,-1,196,0
59,-119,1,-1,196,0
31,1852,3,-1,196,0
35,533,1,-1,196,0
34,2434,4,-1,196,0
38,1349,1,-1,196,0
47,201,2,-1,196,0
31,0,2,-1,196,0
49,1,3,-1,196,0
41,0,3,-1,196,0
46,80,2,-1,196,0
49,82,1,-1,196,0
39,1205,2,-1,196,0
36,368,2,-1,196,0
57,2142,3,-1,196,0
46,401,2,-1,196,0
33,372,2,-1,196,0
31,0,2,-1,196,0
38,3047,2,-1,196,0
54,83,3,-1,196,0
28,251,2,-1,196,0
42,101,3,-1,196,0
40,-7,2,-1,196,0
35,550,2,-1,196,0
43,1211,3,-1,196,0
36,144,2,-1,196,0
55,383,3,-1,196,0
29,110,3,-1,195,0
39,245,3,-1,195,0
45,103,4,-1,195,0
30,4,8,-1,195,0
57,1617,2,-1,195,0
46,2303,1,-1,195,0
34,205,1,-1,195,0
39,305,6,-1,195,0
40,139,1,-1,195,0
36,184,3,-1,195,0
56,223,1,-1,195,0
45,97,3,-1,195,0
39,981,1,-1,195,0
40,490,2,-1,195,0
36,342,1,-1,195,0
54,-248,1,-1,195,0
40,1265,1,-1,195,0
49,3659,1,-1,195,0
32,0,1,-1,195,0
45,154,1,-1,195,0
38,8,1,-1,195,0
29,872,1,-1,195,0
38,100,1,-1,195,0
43,167,1,-1,195,0
40,2100,2,-1,195,0
33,442,1,-1,195,0
47,34,1,-1,195,0
43,140,1,-1,195,0
28,97,1,-1,195,0
44,58544,2,-1,195,0
32,-205,1,-1,195,0
33,0,1,-1,195,0
54,-932,1,-1,195,0
31,-45,2,-1,195,0
31,564,3,-1,195,0
46,1481,3,-1,195,0
51,220,2,-1,195,0
33,198,2,-1,195,0
57,502,3,-1,195,0
57,906,1,-1,195,0
49,1496,4,-1,195,0
46,207,4,-1,195,0
37,310,1,-1,195,0
33,56,2,-1,195,0
30,342,2,-1,195,0
34,1107,1,-1,195,0
44,7,3,-1,195,0
37,16,3,-1,195,0
32,186,2,-1,195,0
29,190,1,-1,195,0
45,118,2,-1,195,0
27,671,2,-1,195,0
50,1557,6,-1,195,0
36,-20,3,-1,195,0
47,438,3,-1,195,0
30,-317,2,-1,195,0
27,0,4,-1,195,0
34,615,2,-1,195,0
35,136,1,-1,195,0
30,145,2,-1,195,0
52,133,8,-1,195,0
43,1924,7,-1,195,0
43,487,2,-1,195,0
32,81,5,-1,195,0
30,98,1,-1,195,0
48,1230,3,-1,195,0
59,137,3,-1,195,0
50,354,2,-1,195,0
39,0,1,-1,195,0
29,199,4,-1,195,0
56,219,4,-1,195,0
33,367,2,-1,195,0
48,268,4,-1,195,0
44,-97,3,-1,195,0
35,788,3,-1,195,0
38,447,4,-1,195,0
28,597,2,-1,194,0
32,89,3,-1,194,0
30,442,2,-1,194,0
29,247,1,-1,194,0
37,190,1,-1,194,0
52,46,1,-1,194,0
27,96,1,-1,194,0
42,198,1,-1,194,0
33,-81,1,-1,194,0
51,57,1,-1,194,0
36,157,1,-1,194,0
55,325,1,-1,194,0
48,96,1,-1,194,0
36,72,1,-1,194,0
41,1715,1,-1,194,0
51,226,1,-1,194,0
34,10350,3,-1,194,0
41,254,1,-1,194,0
34,0,1,-1,194,0
49,-8,1,-1,194,0
47,643,1,-1,194,0
34,80,1,-1,194,0
31,1798,1,-1,194,0
41,2398,2,-1,194,0
38,904,1,-1,194,0
31,1315,1,-1,194,0
44,-84,3,-1,194,0
57,2261,1,-1,194,0
51,340,1,-1,194,0
49,230,1,-1,194,0
27,217,1,-1,194,0
43,186,1,-1,194,0
49,168,1,-1,194,0
50,145,1,-1,194,0
34,142,4,-1,194,0
58,5,2,-1,194,0
37,50,3,-1,194,0
37,31,1,-1,194,0
43,2067,1,-1,194,0
34,301,1,-1,194,0
49,275,1,-1,194,0
60,414,1,-1,194,0
33,1713,1,-1,194,0
37,242,8,-1,194,0
40,-29,2,-1,194,0
59,381,4,-1,194,0
40,640,2,-1,194,0
39,1042,2,-1,194,0
39,-244,2,-1,194,0
31,59,3,-1,194,0
46,846,2,-1,194,0
31,406,1,-1,194,0
46,587,2,-1,194,0
